Номер Задачи,Деятельность,Направление,Количество_Пользователей
7831,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7830,Разработка,FI - Финансы,1
7826,Разработка,PP - Производственное планирование,1
7823,Разработка,PM - Тех. обслуживание и ремонт оборудования,1
7808,Разработка,PP - Производственное планирование,1
7807,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7806,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7803,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7802,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7795,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7506,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7497,Разработка,ISU - Энергетика и коммунальное хозяйство,1
10775,Разработка,PP - Производственное планирование,1
8402,Документирование,SD - Сбыт,1
10486,Настройка,PP - Производственное планирование,1
10327,Документирование,PP - Производственное планирование,1
10255,Документирование,PP - Производственное планирование,1
8425,Документирование,BI - Бизнес аналитика,1
8418,Разработка,FI - Финансы,1
8635,Документирование,PM - Тех. обслуживание и ремонт оборудования,1
8594,Документирование,PM - Тех. обслуживание и ремонт оборудования,1
8554,Разработка,PP - Производственное планирование,1
8515,Документирование,PM - Тех. обслуживание и ремонт оборудования,1
8485,Документирование,PP - Производственное планирование,1
8464,Документирование,FI - Финансы,1
8450,Документирование,PM - Тех. обслуживание и ремонт оборудования,1
8414,Документирование,RE - Недвижимость,1
8412,Документирование,PM - Тех. обслуживание и ремонт оборудования,1
8379,Документирование,MM - Управление материалами,1
10825,Разработка,PP - Производственное планирование,1
8376,Документирование,MM - Управление материалами,1
8375,Документирование,PM - Тех. обслуживание и ремонт оборудования,1
8372,Документирование,PM - Тех. обслуживание и ремонт оборудования,1
8368,Документирование,SD - Сбыт,1
8367,Документирование,PM - Тех. обслуживание и ремонт оборудования,1
8365,Документирование,FI - Финансы,1
8352,Документирование,RE - Недвижимость,1
8342,Документирование,PP - Производственное планирование,1
8332,Документирование,FI - Финансы,1
8329,Документирование,PP - Производственное планирование,1
8323,Разработка,FI - Финансы,1
8323,Документирование,FI - Финансы,1
8322,Разработка,PM - Тех. обслуживание и ремонт оборудования,1
8322,Документирование,PM - Тех. обслуживание и ремонт оборудования,1
10817,Разработка,PP - Производственное планирование,1
10843,Разработка,PP - Производственное планирование,1
7489,Разработка,PP - Производственное планирование,1
7441,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7485,Разработка,PP - Производственное планирование,1
7485,Документирование,PP - Производственное планирование,1
7481,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7479,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7468,Разработка,PP - Производственное планирование,1
7466,Разработка,MM - Управление материалами,1
7464,Разработка,HCM - Управление персоналом,1
7463,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7462,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7455,Разработка,HCM - Управление персоналом,1
7454,Разработка,HCM - Управление персоналом,1
7452,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7446,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7443,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7425,Разработка,ISU - Энергетика и коммунальное хозяйство,1
10916,Разработка,FI - Финансы,1
7424,Разработка,MM - Управление материалами,1
7422,Разработка,PM - Тех. обслуживание и ремонт оборудования,1
7417,Разработка,PP - Производственное планирование,1
