Issue ID,Subject,Project,Subtasks,Subtasks ID,Stage
8366,РЕЕСТР ТП СМ 7000353675 (2000091784) Разработка режима по переразнесению авансовых платежей по ручным документам,SAP21006_MOEK_39 ТП МОЭК SAP IS-U 2021-2024 гг.,,,
8365,CHG0035924 Описать алгоритм выборки и фильтрации данных ZSWIA История согласования ТАП,РусАгро - Тех.поддержка,,,
8364,Некоторые приказы не отменяются, SAP22004_KONS_03 Заработная плата и кадры,,,
8363,"Тестирование Приказов( Прием, По отпускам, Записки-расчета)", SAP22004_KONS_03 Заработная плата и кадры,Некоторые приказы не отменяются,8364,
8362,Корректировка карточек и документов программы в связи с заменой справочника «Расходы для целей НУ» на справочник «СТЗ», SAP22004_KONS_03 Заработная плата и кадры,,,
8361,"Доработка отчета ""Затраты в разрезе контрактов (договоров)""",СудДеп,,,
8360,SH-134 - Разработка графика присутствия механизаторов,РусАгро - ЗНИ,,,
8359,"CTASK0014078 Порог просрочки, одновременность",РусАгро - ЗНИ,,,
8358,"Ошибка при создании продолжения БЛ, корректировка формы БЛ", SAP22004_KONS_03 Заработная плата и кадры,,,
8357,RTSK0259711  анализ программы,РусАгро - Тех.поддержка,,,
8356,Увеличить длину поля Путь к файлам., SAP22004_KONS_03 Заработная плата и кадры,,,
8355,Архитектура текущего решения Инфо-панелей в системе ТУРБО BI,SAP22008_KONS_06 ТУРБО BI Дашборды ,,,
8354,"CM 	7000354086 (2000091913) ZISU_VEDOM_N2_SUBS  -> 8.5 Вед. №2 по деб.сч.51 (субс., льготы) по Р\с 8898",SAP21006_MOEK_39 ТП МОЭК SAP IS-U 2021-2024 гг.,,,
8353,Ошибка разбора XML:  Строковый литерал не закрыт, SAP22004_KONS_03 Заработная плата и кадры,,,
8352,CHG0035924 - документирование транзакции ZREOACN,РусАгро - Тех.поддержка,,,
8351,RA-DT- STRY0013320 Интерфейс закупки транспортных услуг,РусАгро - ЗНИ,,,
8350,СМ 7000354001 ( 2000091883) Книга продаж/покупок - ККС 500 - исключение проводки ,SAP21006_MOEK_39 ТП МОЭК SAP IS-U 2021-2024 гг.,,,
8349,"В сообщении говорится, что нет  файлов для загрузки, но загрузка происходит", SAP22004_KONS_03 Заработная плата и кадры,,,
8348,Отчетность – Внедрение новых КПЭ ТОиР,SAP22010_GKSEG_01: ТП и ЗНИ,,,
8347,Интеграция PI System – SAP,SAP22010_GKSEG_01: ТП и ЗНИ,,,
8346,Заметки и отчеты по сменам,SAP22010_GKSEG_01: ТП и ЗНИ,,,
8345,ЗНИ 747: Ведение спецификаций оборудования,SAP22010_GKSEG_01: ТП и ЗНИ,,,
8344,ЗНИ 745: Доработка Work Manager,SAP22010_GKSEG_01: ТП и ЗНИ,ЗНИ 745 - Доработка Work Manager. Доработка на стороне S/4HANA,8488,
8343,ЗНИ 744 - ТОРО RAUTE,SAP22010_GKSEG_01: ТП и ЗНИ,"Заметки и отчеты по сменам, Интеграция PI System – SAP, Отчетность – Внедрение новых КПЭ ТОиР","8346, 8347, 8348",
8342,"CHG0035924 - документирование транзакции ZPP_SCOUT_TASKS ""Задания на осмотры""",РусАгро - Тех.поддержка,,,
8341,"2000090043, ДСы о Третейской оговорке, ч.2",SAP21006_MOEK_39 ТП МОЭК SAP IS-U 2021-2024 гг.,,,
8340,Описать алгоритм выборки и фильтрации данных ZSWIA История согласования ТАП,РусАгро - Тех.поддержка,,,
8339,СМ 7000353651 (2000091776) Дата аннулированной СФ в  ZISU_SELL_BOOK_2013 - Книга продаж 2013,SAP21006_MOEK_39 ТП МОЭК SAP IS-U 2021-2024 гг.,,,
8338,Описать алгоритм выборки и фильтрации данных Z_BAL_CLACC Отчет по остаткам денежных средств,РусАгро - Тех.поддержка,,,
8337,SN: ITSK0616622. Не сторнируется ЗП в заказе.,РусАгро - Тех.поддержка,,,
8336,(39) ЗНИ Доработка транзакции Z_1_ZUP,SAP21011_RA_07 РусАгро переход с SAP HCM на 1С,,,
8335,CHG0035909  Подтверждение заказа вида UL,РусАгро - ЗНИ,,,
8334,Приказы. Вызов свойства или метода неинициализированного объекта, SAP22004_KONS_03 Заработная плата и кадры,,,
8333,SN: RTSK0258309. Необходима консультация по выборке данных ЗП в транзакции ZPM_ASUTP.,РусАгро - Тех.поддержка,,,
8332,CHG0035924 - Документирование транзакции ZSL_RT005,РусАгро - Тех.поддержка,,,
8331,"Доработать формы в проектах  Казначейство, Управление договорами, Бюджетный контроль в соответствии с рекомендациями в стандарте  построения прикладных интерфейсов",SAP22006_KONS_04 - Переход на платформу 10.5,,,
