#;Проект;Тема;Подзадачи;Связанные задачи
10583;NIS Сербия SAP23006_NPS_01  ;700080 Разбор выписки по 1410 - изменение алгоритма загрузки, если вид фактуры = RC;"";""
10582;NIS Сербия SAP23006_NPS_01  ;700113 Загрузка выписки по комерц банку;"";""
10581; =ФК Модернизация 2023= Федеральное казначейство Модернизация ЦИК . SAP23009_FK_02;"Панель фильтра в картотеке ""Транспортные средства"" ";"";""
10571; =ФК Модернизация 2023= Федеральное казначейство Модернизация ЦИК . SAP23009_FK_02;4.4 и 4.5 Реализация атрибута «Мощность двигателя» в карточке ТС;"";""
10570;РусАгро - ЗНИ;SHH-333 Ведение технологии;"";""
10569; =ФК Модернизация 2023= Федеральное казначейство Модернизация ЦИК . SAP23009_FK_02;Ошибка отображения большого количества строк в веб-версии v2;"";""
10568; =ФК Модернизация 2023= Федеральное казначейство Модернизация ЦИК . SAP23009_FK_02;Привязать справочник к полю;"";""
10567;Белгородская индейка;"Невозможно создать последующий документ из ""Договора продажи""";"";""
10566;Белгородская индейка;"При вызове сервиса ""Переместить контейнер"" не заполняется поле Контейнер_Куда";"";""
10565;Пилотный проект Аэрофлот (ТТ+ТБ);Турбо Трекинг 172.23.12.212 25885 - подключить проект ETL;"";""
10564;Белгородская индейка;Проблемы при создании Производственной партии;"";""
10563;SAP22030_NOKT_01 Нокиан  ;OPTIS-235;"";""
10562;РусАгро - Штрих-кодирование;Маркировка з/ч RFID-метками (SHLOG-224);"";""
10561;=2023= SAP23011_IAC_02 Судебный департамент Развитие Управление имуществом на ПО Турбо Х;Доработка выгрузки для отчетов ;"";""
10560;SAP22030_NOKT_01 Нокиан  ;OPTIS-54;"";""
10559;SAP22030_NOKT_01 Нокиан  ;OPTIS-46;"";""
10558;SAP22030_NOKT_01 Нокиан  ;OPTIS-96;"";""
10557;Белгородская индейка;"В документе ""Отгрузка ТМЦ"" отсутствуют вкладки Транспортировка и ВСД";"";""
10556;Белгородская индейка;Ошибка в Резервировании;"";""
10555;SAP22030_NOKT_01 Нокиан  ;OPTIS-263;"";""
10554;Белгородская индейка;"Не создается ""Сделка продажи"" из ""Договора продажи""";"";""
10553;Белгородская индейка;"Ошибка при вызове сервисов в документе ""Перемещение ТМЦ""";"";""
